model,run_type,selection_metric,purpose,validation_MAE,validation_RMSE,validation_WAPE,validation_R2
XGBoost,full,validation_WAPE,candidate,0.9810402897019327,1.3823242317411992,0.7437393280351069,0.3155929829320274
Random Forest,full,validation_WAPE,candidate,0.981198468482133,1.3981374750474809,0.7438592454135576,0.2998447263247469
LightGBM,full,validation_WAPE,candidate,0.98324169463441,1.3855411576657282,0.7454082415775989,0.3124037911447687
Linear Regression,full,validation_WAPE,candidate,1.0203870613801984,1.4629126670552677,0.7735686243805558,0.23346601916046883
Historical Mean,full,validation_WAPE,candidate,1.1412377534295295,1.6713001004293013,0.8651870965685388,-0.0004686625521745924
Previous-Period Naive,full,validation_WAPE,candidate,1.1459871167754272,1.7411767487598688,0.8687876503282072,-0.08587623749506035
