,mean_abs_shap
cat__shop_label_16,1.3792061747471962e-05
cat__fabric_velvet,1.3250242807430368e-05
cat__fabric_mohair,1.273760237741044e-05
cat__shop_label_76,1.210606742258733e-05
cat__shop_label_77,1.151605748232214e-05
cat__fabric_jacquard,1.0280338922166265e-05
cat__shop_label_75,9.406403393472828e-06
cat__fabric_tencel,7.925375362810883e-06
cat__shop_label_51,6.309441901544233e-06
cat__shop_label_83,6.0927098356614806e-06
cat__fabric_heavy jeans,4.028891793632283e-06
cat__category_long duster,3.7183616713832636e-06
cat__shop_label_68,3.6780455064103988e-06
cat__category_long cardigan,3.5600647598698742e-06
cat__shop_label_1,3.1736339380728394e-06
cat__shop_label_31,3.1515918464151583e-06
cat__shop_label_8,2.443397678285919e-06
cat__shop_label_81,1.8316310815990278e-06
cat__fabric_dainetto,1.3360300207409637e-06
cat__shop_label_54,1.3027190217741236e-06
cat__shop_label_5,1.2099487838426626e-06
cat__fabric_fur,1.1338758122860782e-06
cat__shop_label_57,1.0670929907121263e-06
cat__fabric_marocain,6.388772334105398e-07
cat__fabric_plumetis,6.102270480916161e-07
cat__shop_label_48,5.941739087717224e-07
cat__fabric_plush,5.935443494152537e-07
cat__fabric_chine crepe,5.618546898659815e-07
cat__shop_label_85,4.7091625236923563e-07
cat__fabric_ottoman,3.2273567403819925e-07
cat__shop_label_100,3.056684744819904e-07
cat__fabric_piquet,2.542362092555095e-07
cat__shop_label_99,2.4134614640729523e-07
cat__fabric_angora,0.0
cat__fabric_chanel,0.0
num__day_of_week,0.0
cat__season_AW19,0.0
cat__fabric_ity,0.0
cat__fabric_fluid polyviscous,0.0
cat__fabric_flamed,0.0
cat__fabric_fluid,0.0
cat__fabric_mutton,0.0
cat__shop_label_67,0.0
cat__shop_label_74,0.0
cat__shop_label_90,0.0
cat__shop_label_95,0.0
cat__shop_label_93,0.0
cat__shop_label_101,0.0
cat__shop_label_102,0.0
cat__shop_label_104,0.0
cat__shop_label_107,0.0
cat__shop_label_109,0.0
cat__shop_label_110,0.0
