model,run_type,validation_MAP@12,validation_Recall@K,validation_NDCG@K
Global Popularity,full_validation,0.3379938380029494,0.5124893491879995,0.47079815396925945
Recent Popularity,full_validation,0.31949449787970996,0.40468480617588615,0.3970340328409222
Category Preference,full_validation,0.23323981294335133,0.3737562742277247,0.3305046713702
Logistic Regression,full_validation,0.48146302937212226,0.6951360480170997,0.6168104374976098
LightGBM,full_validation,0.4800547835618314,0.6622320569879822,0.600886938850806
